 
****************************************
Report : area
Design : SystolicPod
Version: P-2019.03-SP1
Date   : Thu Sep 16 18:43:37 2021
****************************************

Library(s) Used:

    tcbn28hpmbwp35ss0p81v125c (File: /opt/tsmc/28nm/cln28hpm/stclib/9-track/Front_End/timing_power_noise/NLDM/tcbn28hpmbwp35_120a/tcbn28hpmbwp35ss0p81v125c.db)

Number of ports:                        76213
Number of nets:                        675697
Number of cells:                       557713
Number of combinational cells:         512900
Number of sequential cells:             43783
Number of macros/black boxes:               0
Number of buf/inv:                      59234
Number of references:                     132

Combinational area:             410891.132786
Buf/Inv area:                    14814.616511
Noncombinational area:           81457.609243
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (Wire load has zero net area)

Total cell area:                492348.742029
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area              Local cell area
                                  --------------------  ------------------------------- 
Hierarchical cell                 Absolute     Percent  Combi-       Noncombi-   Black-
                                  Total        Total    national     national    boxes   Design
array/PE_10_4                        369.8460      0.1     325.7415     44.1045  0.0000  ProcessingElement_699
array/PE_10_5                        368.3880      0.1     324.6480     43.7400  0.0000  ProcessingElement_698
array/PE_10_6                        369.3600      0.1     325.2555     44.1045  0.0000  ProcessingElement_697
array/PE_10_7                        367.2945      0.1     323.1900     44.1045  0.0000  ProcessingElement_696
array/PE_10_8                        367.1730      0.1     323.0685     44.1045  0.0000  ProcessingElement_695
array/PE_10_9                        367.4160      0.1     323.3115     44.1045  0.0000  ProcessingElement_694
array/PE_11_0                        366.8085      0.1     322.7040     44.1045  0.0000  ProcessingElement_671
array/PE_11_1                        365.4720      0.1     321.0030     44.4690  0.0000  ProcessingElement_670
array/PE_11_10                       365.2290      0.1     321.1245     44.1045  0.0000  ProcessingElement_661
array/PE_11_11                       364.9860      0.1     320.5170     44.4690  0.0000  ProcessingElement_660
array/PE_11_12                       371.4255      0.1     323.4330     47.9925  0.0000  ProcessingElement_659
array/PE_11_13                       367.2945      0.1     323.1900     44.1045  0.0000  ProcessingElement_658
array/PE_11_14                       369.7245      0.1     325.6200     44.1045  0.0000  ProcessingElement_657
array/PE_11_15                       370.6965      0.1     325.4985     45.1980  0.0000  ProcessingElement_656
array/PE_11_16                       368.7525      0.1     324.6480     44.1045  0.0000  ProcessingElement_655
array/PE_11_17                       365.9580      0.1     321.8535     44.1045  0.0000  ProcessingElement_654
array/PE_11_18                       368.5095      0.1     324.4050     44.1045  0.0000  ProcessingElement_653
array/PE_11_19                       369.4815      0.1     324.6480     44.8335  0.0000  ProcessingElement_652
array/PE_11_2                        370.9395      0.1     326.8350     44.1045  0.0000  ProcessingElement_669
array/PE_11_20                       366.3225      0.1     321.8535     44.4690  0.0000  ProcessingElement_651
array/PE_11_21                       368.5095      0.1     324.4050     44.1045  0.0000  ProcessingElement_650
array/PE_11_22                       368.0235      0.1     324.2835     43.7400  0.0000  ProcessingElement_649
array/PE_11_23                       367.9020      0.1     323.4330     44.4690  0.0000  ProcessingElement_648
array/PE_11_24                       363.7710      0.1     319.3020     44.4690  0.0000  ProcessingElement_647
array/PE_11_25                       367.2945      0.1     323.1900     44.1045  0.0000  ProcessingElement_646
array/PE_11_26                       366.6870      0.1     322.2180     44.4690  0.0000  ProcessingElement_645
array/PE_11_27                       365.9580      0.1     321.1245     44.8335  0.0000  ProcessingElement_644
array/PE_11_28                       369.9675      0.1     325.8630     44.1045  0.0000  ProcessingElement_643
array/PE_11_29                       365.3505      0.1     321.2460     44.1045  0.0000  ProcessingElement_642
array/PE_11_3                        365.3505      0.1     320.8815     44.4690  0.0000  ProcessingElement_668
array/PE_11_30                       365.7150      0.1     321.6105     44.1045  0.0000  ProcessingElement_641
array/PE_11_31                       371.3040      0.1     326.8350     44.4690  0.0000  ProcessingElement_640
array/PE_11_4                        366.3225      0.1     322.5825     43.7400  0.0000  ProcessingElement_667
array/PE_11_5                        368.9955      0.1     324.8910     44.1045  0.0000  ProcessingElement_666
array/PE_11_6                        367.9020      0.1     324.1620     43.7400  0.0000  ProcessingElement_665
array/PE_11_7                        368.6310      0.1     324.8910     43.7400  0.0000  ProcessingElement_664
array/PE_11_8                        374.4630      0.1     330.7230     43.7400  0.0000  ProcessingElement_663
array/PE_11_9                        365.9580      0.1     321.4890     44.4690  0.0000  ProcessingElement_662
array/PE_12_0                        368.5095      0.1     324.4050     44.1045  0.0000  ProcessingElement_639
