 
****************************************
Report : area
Design : SystolicPod
Version: P-2019.03-SP1
Date   : Thu Sep 16 18:43:37 2021
****************************************

Library(s) Used:

    tcbn28hpmbwp35ss0p81v125c (File: /opt/tsmc/28nm/cln28hpm/stclib/9-track/Front_End/timing_power_noise/NLDM/tcbn28hpmbwp35_120a/tcbn28hpmbwp35ss0p81v125c.db)

Number of ports:                        76213
Number of nets:                        675697
Number of cells:                       557713
Number of combinational cells:         512900
Number of sequential cells:             43783
Number of macros/black boxes:               0
Number of buf/inv:                      59234
Number of references:                     132

Combinational area:             410891.132786
Buf/Inv area:                    14814.616511
Noncombinational area:           81457.609243
Macro/Black Box area:                0.000000
Net Interconnect area:      undefined  (Wire load has zero net area)

Total cell area:                492348.742029
Total area:                 undefined

Hierarchical area distribution
------------------------------

                                  Global cell area              Local cell area
                                  --------------------  ------------------------------- 
Hierarchical cell                 Absolute     Percent  Combi-       Noncombi-   Black-
                                  Total        Total    national     national    boxes   Design
array/PE_15_6                        368.3880      0.1     324.2835     44.1045  0.0000  ProcessingElement_537
array/PE_15_7                        370.3320      0.1     326.2275     44.1045  0.0000  ProcessingElement_536
array/PE_15_8                        368.9955      0.1     323.4330     45.5625  0.0000  ProcessingElement_535
array/PE_15_9                        365.3505      0.1     321.2460     44.1045  0.0000  ProcessingElement_534
array/PE_16_0                        507.7485      0.1     434.1195     73.6290  0.0000  ProcessingElement_511
array/PE_16_1                        500.3370      0.1     426.3435     73.9935  0.0000  ProcessingElement_510
array/PE_16_10                       499.4865      0.1     420.5115     78.9750  0.0000  ProcessingElement_501
array/PE_16_11                       497.2995      0.1     422.9415     74.3580  0.0000  ProcessingElement_500
array/PE_16_12                       494.7480      0.1     419.6610     75.0870  0.0000  ProcessingElement_499
array/PE_16_13                       491.8320      0.1     416.7450     75.0870  0.0000  ProcessingElement_498
array/PE_16_14                       500.9445      0.1     426.5865     74.3580  0.0000  ProcessingElement_497
array/PE_16_15                       502.5240      0.1     427.8015     74.7225  0.0000  ProcessingElement_496
array/PE_16_16                       500.4585      0.1     424.6425     75.8160  0.0000  ProcessingElement_495
array/PE_16_17                       495.5985      0.1     419.7825     75.8160  0.0000  ProcessingElement_494
array/PE_16_18                       501.1875      0.1     424.2780     76.9095  0.0000  ProcessingElement_493
array/PE_16_19                       506.0475      0.1     421.4835     84.5640  0.0000  ProcessingElement_492
array/PE_16_2                        495.7200      0.1     420.9975     74.7225  0.0000  ProcessingElement_509
array/PE_16_20                       491.1030      0.1     416.3805     74.7225  0.0000  ProcessingElement_491
array/PE_16_21                       495.9630      0.1     421.2405     74.7225  0.0000  ProcessingElement_490
array/PE_16_22                       502.5240      0.1     426.7080     75.8160  0.0000  ProcessingElement_489
array/PE_16_23                       496.4490      0.1     420.6330     75.8160  0.0000  ProcessingElement_488
array/PE_16_24                       498.3930      0.1     422.9415     75.4515  0.0000  ProcessingElement_487
array/PE_16_25                       496.4490      0.1     420.9975     75.4515  0.0000  ProcessingElement_486
array/PE_16_26                       496.5705      0.1     421.1190     75.4515  0.0000  ProcessingElement_485
array/PE_16_27                       499.4865      0.1     425.1285     74.3580  0.0000  ProcessingElement_484
array/PE_16_28                       494.3835      0.1     418.5675     75.8160  0.0000  ProcessingElement_483
array/PE_16_29                       501.6735      0.1     427.3155     74.3580  0.0000  ProcessingElement_482
array/PE_16_3                        496.0845      0.1     422.0910     73.9935  0.0000  ProcessingElement_508
array/PE_16_30                       494.6265      0.1     418.0815     76.5450  0.0000  ProcessingElement_481
array/PE_16_31                       493.6545      0.1     418.9320     74.7225  0.0000  ProcessingElement_480
array/PE_16_4                        497.1780      0.1     422.8200     74.3580  0.0000  ProcessingElement_507
array/PE_16_5                        489.4020      0.1     415.0440     74.3580  0.0000  ProcessingElement_506
array/PE_16_6                        499.0005      0.1     424.6425     74.3580  0.0000  ProcessingElement_505
array/PE_16_7                        500.2155      0.1     425.8575     74.3580  0.0000  ProcessingElement_504
array/PE_16_8                        491.8320      0.1     416.7450     75.0870  0.0000  ProcessingElement_503
array/PE_16_9                        493.4115      0.1     419.0535     74.3580  0.0000  ProcessingElement_502
array/PE_17_0                        500.7015      0.1     426.3435     74.3580  0.0000  ProcessingElement_479
array/PE_17_1                        503.1315      0.1     428.7735     74.3580  0.0000  ProcessingElement_478
array/PE_17_10                       500.0940      0.1     425.3715     74.7225  0.0000  ProcessingElement_469
array/PE_17_11                       501.7950      0.1     427.8015     73.9935  0.0000  ProcessingElement_468
array/PE_17_12                       492.5610      0.1     417.8385     74.7225  0.0000  ProcessingElement_467
array/PE_17_13                       499.3650      0.1     425.0070     74.3580  0.0000  ProcessingElement_466
array/PE_17_14                       503.4960      0.1     428.7735     74.7225  0.0000  ProcessingElement_465
array/PE_17_15                       497.0565      0.1     422.6985     74.3580  0.0000  ProcessingElement_464
array/PE_17_16                       506.1690      0.1     428.4090     77.7600  0.0000  ProcessingElement_463
array/PE_17_17                       498.0285      0.1     422.3340     75.6945  0.0000  ProcessingElement_462
array/PE_17_18                       505.3185      0.1     428.5305     76.7880  0.0000  ProcessingElement_461
array/PE_17_19                       503.0100      0.1     425.8575     77.1525  0.0000  ProcessingElement_460
array/PE_17_2                        497.6640      0.1     424.0350     73.6290  0.0000  ProcessingElement_477
array/PE_17_20                       496.0845      0.1     421.4835     74.6010  0.0000  ProcessingElement_459
array/PE_17_21                       494.7480      0.1     419.4180     75.3300  0.0000  ProcessingElement_458
array/PE_17_22                       496.5705      0.1     421.9695     74.6010  0.0000  ProcessingElement_457
array/PE_17_23                       499.9725      0.1     425.0070     74.9655  0.0000  ProcessingElement_456
array/PE_17_24                       492.9255      0.1     418.6890     74.2365  0.0000  ProcessingElement_455
array/PE_17_25                       499.4865      0.1     424.1565     75.3300  0.0000  ProcessingElement_454
array/PE_17_26                       496.5705      0.1     421.9695     74.6010  0.0000  ProcessingElement_453
array/PE_17_27                       494.6265      0.1     418.5675     76.0590  0.0000  ProcessingElement_452
array/PE_17_28                       497.4210      0.1     422.8200     74.6010  0.0000  ProcessingElement_451
array/PE_17_29                       499.4865      0.1     423.7920     75.6945  0.0000  ProcessingElement_450
array/PE_17_3                        500.0940      0.1     426.1005     73.9935  0.0000  ProcessingElement_476
array/PE_17_30                       495.4770      0.1     420.5115     74.9655  0.0000  ProcessingElement_449
array/PE_17_31                       501.9165      0.1     427.3155     74.6010  0.0000  ProcessingElement_448
array/PE_17_4                        501.1875      0.1     426.4650     74.7225  0.0000  ProcessingElement_475
array/PE_17_5                        497.9070      0.1     424.2780     73.6290  0.0000  ProcessingElement_474
array/PE_17_6                        500.4585      0.1     426.8295     73.6290  0.0000  ProcessingElement_473
array/PE_17_7                        507.9915      0.1     433.2690     74.7225  0.0000  ProcessingElement_472
array/PE_17_8                        495.7200      0.1     422.0910     73.6290  0.0000  ProcessingElement_471
array/PE_17_9                        494.6265      0.1     420.2685     74.3580  0.0000  ProcessingElement_470
array/PE_18_0                        493.7760      0.1     419.4180     74.3580  0.0000  ProcessingElement_447
array/PE_18_1                        492.0750      0.1     417.7170     74.3580  0.0000  ProcessingElement_446
array/PE_18_10                       497.4210      0.1     422.6985     74.7225  0.0000  ProcessingElement_437
array/PE_18_11                       499.8510      0.1     425.1285     74.7225  0.0000  ProcessingElement_436
array/PE_18_12                       498.1500      0.1     423.7920     74.3580  0.0000  ProcessingElement_435
array/PE_18_13                       500.4585      0.1     425.0070     75.4515  0.0000  ProcessingElement_434
array/PE_18_14                       496.3275      0.1     421.2405     75.0870  0.0000  ProcessingElement_433
array/PE_18_15                       496.3275      0.1     421.6050     74.7225  0.0000  ProcessingElement_432
array/PE_18_16                       503.9820      0.1     428.2875     75.6945  0.0000  ProcessingElement_431
array/PE_18_17                       494.2620      0.1     419.2965     74.9655  0.0000  ProcessingElement_430
array/PE_18_18                       502.1595      0.1     426.1005     76.0590  0.0000  ProcessingElement_429
array/PE_18_19                       496.6920      0.1     420.2685     76.4235  0.0000  ProcessingElement_428
array/PE_18_2                        498.3930      0.1     424.0350     74.3580  0.0000  ProcessingElement_445
array/PE_18_20                       501.7950      0.1     427.1940     74.6010  0.0000  ProcessingElement_427
array/PE_18_21                       502.1595      0.1     427.5585     74.6010  0.0000  ProcessingElement_426
array/PE_18_22                       497.9070      0.1     423.3060     74.6010  0.0000  ProcessingElement_425
array/PE_18_23                       497.4210      0.1     421.3620     76.0590  0.0000  ProcessingElement_424
array/PE_18_24                       496.3275      0.1     421.3620     74.9655  0.0000  ProcessingElement_423
array/PE_18_25                       496.3275      0.1     421.7265     74.6010  0.0000  ProcessingElement_422
array/PE_18_26                       496.0845      0.1     420.7545     75.3300  0.0000  ProcessingElement_421
array/PE_18_27                       493.5330      0.1     417.4740     76.0590  0.0000  ProcessingElement_420
array/PE_18_28                       492.8040      0.1     416.3805     76.4235  0.0000  ProcessingElement_419
array/PE_18_29                       497.2995      0.1     421.9695     75.3300  0.0000  ProcessingElement_418
array/PE_18_3                        507.9915      0.1     432.5400     75.4515  0.0000  ProcessingElement_444
array/PE_18_30                       495.7200      0.1     420.7545     74.9655  0.0000  ProcessingElement_417
array/PE_18_31                       496.0845      0.1     421.4835     74.6010  0.0000  ProcessingElement_416
array/PE_18_4                        499.4865      0.1     425.1285     74.3580  0.0000  ProcessingElement_443
array/PE_18_5                        494.5050      0.1     419.7825     74.7225  0.0000  ProcessingElement_442
array/PE_18_6                        494.9910      0.1     420.2685     74.7225  0.0000  ProcessingElement_441
array/PE_18_7                        496.0845      0.1     422.0910     73.9935  0.0000  ProcessingElement_440
array/PE_18_8                        505.0755      0.1     431.8110     73.2645  0.0000  ProcessingElement_439
array/PE_18_9                        498.3930      0.1     424.7640     73.6290  0.0000  ProcessingElement_438
array/PE_19_0                        496.0845      0.1     421.7265     74.3580  0.0000  ProcessingElement_415
array/PE_19_1                        500.4585      0.1     426.4650     73.9935  0.0000  ProcessingElement_414
array/PE_19_10                       499.9725      0.1     425.2500     74.7225  0.0000  ProcessingElement_405
array/PE_19_11                       498.6360      0.1     419.6610     78.9750  0.0000  ProcessingElement_404
array/PE_19_12                       500.8230      0.1     426.8295     73.9935  0.0000  ProcessingElement_403
array/PE_19_13                       494.8695      0.1     420.1470     74.7225  0.0000  ProcessingElement_402
array/PE_19_14                       494.5050      0.1     419.4180     75.0870  0.0000  ProcessingElement_401
array/PE_19_15                       496.6920      0.1     421.9695     74.7225  0.0000  ProcessingElement_400
array/PE_19_16                       497.7855      0.1     422.0910     75.6945  0.0000  ProcessingElement_399
array/PE_19_17                       496.3275      0.1     421.3620     74.9655  0.0000  ProcessingElement_398
array/PE_19_18                       503.3745      0.1     429.1380     74.2365  0.0000  ProcessingElement_397
array/PE_19_19                       489.2805      0.1     413.2215     76.0590  0.0000  ProcessingElement_396
array/PE_19_2                        497.0565      0.1     422.6985     74.3580  0.0000  ProcessingElement_413
array/PE_19_20                       494.9910      0.1     419.2965     75.6945  0.0000  ProcessingElement_395
array/PE_19_21                       495.4770      0.1     419.7825     75.6945  0.0000  ProcessingElement_394
array/PE_19_22                       502.8885      0.1     427.5585     75.3300  0.0000  ProcessingElement_393
array/PE_19_23                       494.3835      0.1     419.0535     75.3300  0.0000  ProcessingElement_392
array/PE_19_24                       497.4210      0.1     423.1845     74.2365  0.0000  ProcessingElement_391
array/PE_19_25                       495.3555      0.1     418.9320     76.4235  0.0000  ProcessingElement_390
array/PE_19_26                       496.0845      0.1     419.6610     76.4235  0.0000  ProcessingElement_389
array/PE_19_27                       491.8320      0.1     416.5020     75.3300  0.0000  ProcessingElement_388
array/PE_19_28                       493.2900      0.1     417.2310     76.0590  0.0000  ProcessingElement_387
array/PE_19_29                       494.1405      0.1     418.8105     75.3300  0.0000  ProcessingElement_386
array/PE_19_3                        500.7015      0.1     425.9790     74.7225  0.0000  ProcessingElement_412
array/PE_19_30                       497.9070      0.1     423.3060     74.6010  0.0000  ProcessingElement_385
array/PE_19_31                       494.3835      0.1     418.3245     76.0590  0.0000  ProcessingElement_384
array/PE_19_4                        495.7200      0.1     421.3620     74.3580  0.0000  ProcessingElement_411
array/PE_19_5                        498.2715      0.1     424.2780     73.9935  0.0000  ProcessingElement_410
array/PE_19_6                        490.6170      0.1     416.2590     74.3580  0.0000  ProcessingElement_409
array/PE_19_7                        496.5705      0.1     421.8480     74.7225  0.0000  ProcessingElement_408
array/PE_19_8                        498.1500      0.1     423.7920     74.3580  0.0000  ProcessingElement_407
array/PE_19_9                        502.6455      0.1     427.9230     74.7225  0.0000  ProcessingElement_406
array/PE_1_0                         366.9300      0.1     322.4610     44.4690  0.0000  ProcessingElement_991
array/PE_1_1                         367.9020      0.1     324.1620     43.7400  0.0000  ProcessingElement_990
array/PE_1_10                        365.9580      0.1     320.7600     45.1980  0.0000  ProcessingElement_981
array/PE_1_11                        369.4815      0.1     325.3770     44.1045  0.0000  ProcessingElement_980
array/PE_1_12                        366.8085      0.1     322.7040     44.1045  0.0000  ProcessingElement_979
array/PE_1_13                        368.8740      0.1     324.4050     44.4690  0.0000  ProcessingElement_978
array/PE_1_14                        370.2105      0.1     326.4705     43.7400  0.0000  ProcessingElement_977
array/PE_1_15                        367.2945      0.1     322.8255     44.4690  0.0000  ProcessingElement_976
array/PE_1_16                        367.1730      0.1     322.7040     44.4690  0.0000  ProcessingElement_975
array/PE_1_17                        368.6310      0.1     324.5265     44.1045  0.0000  ProcessingElement_974
array/PE_1_18                        365.8365      0.1     321.0030     44.8335  0.0000  ProcessingElement_973
array/PE_1_19                        368.0235      0.1     323.5545     44.4690  0.0000  ProcessingElement_972
array/PE_1_2                         365.1075      0.1     320.6385     44.4690  0.0000  ProcessingElement_989
array/PE_1_20                        366.0795      0.1     321.9750     44.1045  0.0000  ProcessingElement_971
array/PE_1_21                        367.7805      0.1     323.6760     44.1045  0.0000  ProcessingElement_970
array/PE_1_22                        366.8085      0.1     321.9750     44.8335  0.0000  ProcessingElement_969
array/PE_1_23                        364.7430      0.1     319.9095     44.8335  0.0000  ProcessingElement_968
array/PE_1_24                        371.1825      0.1     327.0780     44.1045  0.0000  ProcessingElement_967
array/PE_1_25                        365.7150      0.1     321.2460     44.4690  0.0000  ProcessingElement_966
array/PE_1_26                        365.1075      0.1     321.0030     44.1045  0.0000  ProcessingElement_965
array/PE_1_27                        368.2665      0.1     324.5265     43.7400  0.0000  ProcessingElement_964
array/PE_1_28                        367.1730      0.1     323.0685     44.1045  0.0000  ProcessingElement_963
array/PE_1_29                        368.0235      0.1     323.9190     44.1045  0.0000  ProcessingElement_962
array/PE_1_3                         369.9675      0.1     325.4985     44.4690  0.0000  ProcessingElement_988
array/PE_1_30                        367.9020      0.1     323.7975     44.1045  0.0000  ProcessingElement_961
array/PE_1_31                        363.8925      0.1     319.7880     44.1045  0.0000  ProcessingElement_960
array/PE_1_4                         364.8645      0.1     320.7600     44.1045  0.0000  ProcessingElement_987
array/PE_1_5                         365.1075      0.1     320.2740     44.8335  0.0000  ProcessingElement_986
array/PE_1_6                         368.2665      0.1     324.5265     43.7400  0.0000  ProcessingElement_985
array/PE_1_7                         366.0795      0.1     321.6105     44.4690  0.0000  ProcessingElement_984
array/PE_1_8                         368.8740      0.1     324.7695     44.1045  0.0000  ProcessingElement_983
array/PE_1_9                         367.6590      0.1     323.5545     44.1045  0.0000  ProcessingElement_982
array/PE_20_0                        493.2900      0.1     418.5675     74.7225  0.0000  ProcessingElement_383
array/PE_20_1                        510.0570      0.1     436.0635     73.9935  0.0000  ProcessingElement_382
array/PE_20_10                       494.7480      0.1     419.6610     75.0870  0.0000  ProcessingElement_373
array/PE_20_11                       495.2340      0.1     419.7825     75.4515  0.0000  ProcessingElement_372
array/PE_20_12                       497.5425      0.1     422.4555     75.0870  0.0000  ProcessingElement_371
array/PE_20_13                       492.6825      0.1     417.2310     75.4515  0.0000  ProcessingElement_370
array/PE_20_14                       494.9910      0.1     419.9040     75.0870  0.0000  ProcessingElement_369
array/PE_20_15                       496.4490      0.1     422.4555     73.9935  0.0000  ProcessingElement_368
array/PE_20_16                       506.5335      0.1     432.2970     74.2365  0.0000  ProcessingElement_367
array/PE_20_17                       500.3370      0.1     425.3715     74.9655  0.0000  ProcessingElement_366
array/PE_20_18                       498.2715      0.1     422.9415     75.3300  0.0000  ProcessingElement_365
array/PE_20_19                       499.2435      0.1     423.9135     75.3300  0.0000  ProcessingElement_364
array/PE_20_2                        497.1780      0.1     422.8200     74.3580  0.0000  ProcessingElement_381
array/PE_20_20                       502.5240      0.1     426.8295     75.6945  0.0000  ProcessingElement_363
array/PE_20_21                       501.6735      0.1     425.6145     76.0590  0.0000  ProcessingElement_362
array/PE_20_22                       496.3275      0.1     421.3620     74.9655  0.0000  ProcessingElement_361
array/PE_20_23                       500.5800      0.1     425.6145     74.9655  0.0000  ProcessingElement_360
array/PE_20_24                       499.1220      0.1     423.7920     75.3300  0.0000  ProcessingElement_359
array/PE_20_25                       493.5330      0.1     418.2030     75.3300  0.0000  ProcessingElement_358
array/PE_20_26                       492.6825      0.1     416.9880     75.6945  0.0000  ProcessingElement_357
array/PE_20_27                       494.9910      0.1     420.0255     74.9655  0.0000  ProcessingElement_356
array/PE_20_28                       499.8510      0.1     424.8855     74.9655  0.0000  ProcessingElement_355
array/PE_20_29                       503.6175      0.1     428.2875     75.3300  0.0000  ProcessingElement_354
array/PE_20_3                        499.0005      0.1     425.0070     73.9935  0.0000  ProcessingElement_380
array/PE_20_30                       500.4585      0.1     424.3995     76.0590  0.0000  ProcessingElement_353
array/PE_20_31                       495.2340      0.1     420.2685     74.9655  0.0000  ProcessingElement_352
array/PE_20_4                        501.4305      0.1     426.7080     74.7225  0.0000  ProcessingElement_379
array/PE_20_5                        497.1780      0.1     422.4555     74.7225  0.0000  ProcessingElement_378
array/PE_20_6                        500.2155      0.1     425.1285     75.0870  0.0000  ProcessingElement_377
array/PE_20_7                        495.4770      0.1     421.1190     74.3580  0.0000  ProcessingElement_376
array/PE_20_8                        497.5425      0.1     422.4555     75.0870  0.0000  ProcessingElement_375
array/PE_20_9                        495.9630      0.1     420.5115     75.4515  0.0000  ProcessingElement_374
array/PE_21_0                        492.8040      0.1     417.7170     75.0870  0.0000  ProcessingElement_351
array/PE_21_1                        493.5330      0.1     418.8105     74.7225  0.0000  ProcessingElement_350
array/PE_21_10                       488.6730      0.1     413.9505     74.7225  0.0000  ProcessingElement_341
array/PE_21_11                       498.8790      0.1     424.8855     73.9935  0.0000  ProcessingElement_340
array/PE_21_12                       499.7295      0.1     425.3715     74.3580  0.0000  ProcessingElement_339
array/PE_21_13                       498.6360      0.1     423.9135     74.7225  0.0000  ProcessingElement_338
array/PE_21_14                       498.0285      0.1     424.3995     73.6290  0.0000  ProcessingElement_337
array/PE_21_15                       499.9725      0.1     426.3435     73.6290  0.0000  ProcessingElement_336
array/PE_21_16                       507.0195      0.1     432.7830     74.2365  0.0000  ProcessingElement_335
array/PE_21_17                       500.5800      0.1     425.2500     75.3300  0.0000  ProcessingElement_334
array/PE_21_18                       499.7295      0.1     424.3995     75.3300  0.0000  ProcessingElement_333
array/PE_21_19                       499.7295      0.1     424.3995     75.3300  0.0000  ProcessingElement_332
array/PE_21_2                        496.6920      0.1     422.3340     74.3580  0.0000  ProcessingElement_349
array/PE_21_20                       491.8320      0.1     417.2310     74.6010  0.0000  ProcessingElement_331
array/PE_21_21                       494.9910      0.1     420.0255     74.9655  0.0000  ProcessingElement_330
array/PE_21_22                       499.3650      0.1     424.3995     74.9655  0.0000  ProcessingElement_329
array/PE_21_23                       494.9910      0.1     421.1190     73.8720  0.0000  ProcessingElement_328
array/PE_21_24                       500.5800      0.1     426.3435     74.2365  0.0000  ProcessingElement_327
array/PE_21_25                       492.3180      0.1     416.9880     75.3300  0.0000  ProcessingElement_326
array/PE_21_26                       494.0190      0.1     419.0535     74.9655  0.0000  ProcessingElement_325
array/PE_21_27                       498.0285      0.1     423.0630     74.9655  0.0000  ProcessingElement_324
array/PE_21_28                       497.1780      0.1     422.9415     74.2365  0.0000  ProcessingElement_323
array/PE_21_29                       496.5705      0.1     421.6050     74.9655  0.0000  ProcessingElement_322
array/PE_21_3                        493.0470      0.1     418.6890     74.3580  0.0000  ProcessingElement_348
array/PE_21_30                       495.9630      0.1     420.9975     74.9655  0.0000  ProcessingElement_321
array/PE_21_31                       493.4115      0.1     418.0815     75.3300  0.0000  ProcessingElement_320
array/PE_21_4                        493.6545      0.1     419.6610     73.9935  0.0000  ProcessingElement_347
array/PE_21_5                        493.5330      0.1     419.5395     73.9935  0.0000  ProcessingElement_346
array/PE_21_6                        492.1965      0.1     417.1095     75.0870  0.0000  ProcessingElement_345
array/PE_21_7                        497.1780      0.1     423.1845     73.9935  0.0000  ProcessingElement_344
array/PE_21_8                        493.7760      0.1     419.7825     73.9935  0.0000  ProcessingElement_343
array/PE_21_9                        502.5240      0.1     428.1660     74.3580  0.0000  ProcessingElement_342
array/PE_22_0                        506.2905      0.1     431.5680     74.7225  0.0000  ProcessingElement_319
array/PE_22_1                        493.8975      0.1     419.5395     74.3580  0.0000  ProcessingElement_318
array/PE_22_10                       497.9070      0.1     423.1845     74.7225  0.0000  ProcessingElement_309
array/PE_22_11                       500.2155      0.1     425.4930     74.7225  0.0000  ProcessingElement_308
array/PE_22_12                       492.0750      0.1     417.3525     74.7225  0.0000  ProcessingElement_307
array/PE_22_13                       494.9910      0.1     419.5395     75.4515  0.0000  ProcessingElement_306
array/PE_22_14                       498.8790      0.1     424.1565     74.7225  0.0000  ProcessingElement_305
array/PE_22_15                       495.9630      0.1     421.9695     73.9935  0.0000  ProcessingElement_304
array/PE_22_16                       492.9255      0.1     416.5020     76.4235  0.0000  ProcessingElement_303
array/PE_22_17                       500.0940      0.1     425.1285     74.9655  0.0000  ProcessingElement_302
array/PE_22_18                       501.5520      0.1     426.9510     74.6010  0.0000  ProcessingElement_301
array/PE_22_19                       507.8700      0.1     433.2690     74.6010  0.0000  ProcessingElement_300
array/PE_22_2                        502.5240      0.1     428.5305     73.9935  0.0000  ProcessingElement_317
array/PE_22_20                       505.8045      0.1     430.8390     74.9655  0.0000  ProcessingElement_299
array/PE_22_21                       501.4305      0.1     426.4650     74.9655  0.0000  ProcessingElement_298
array/PE_22_22                       499.9725      0.1     424.6425     75.3300  0.0000  ProcessingElement_297
array/PE_22_23                       498.6360      0.1     423.6705     74.9655  0.0000  ProcessingElement_296
array/PE_22_24                       492.0750      0.1     416.0160     76.0590  0.0000  ProcessingElement_295
array/PE_22_25                       498.5145      0.1     423.1845     75.3300  0.0000  ProcessingElement_294
array/PE_22_26                       498.1500      0.1     422.4555     75.6945  0.0000  ProcessingElement_293
array/PE_22_27                       495.7200      0.1     420.7545     74.9655  0.0000  ProcessingElement_292
array/PE_22_28                       496.0845      0.1     421.8480     74.2365  0.0000  ProcessingElement_291
array/PE_22_29                       495.7200      0.1     421.4835     74.2365  0.0000  ProcessingElement_290
array/PE_22_3                        502.2810      0.1     427.9230     74.3580  0.0000  ProcessingElement_316
array/PE_22_30                       494.7480      0.1     419.4180     75.3300  0.0000  ProcessingElement_289
array/PE_22_31                       493.8975      0.1     418.5675     75.3300  0.0000  ProcessingElement_288
array/PE_22_4                        497.4210      0.1     422.6985     74.7225  0.0000  ProcessingElement_315
array/PE_22_5                        498.5145      0.1     424.8855     73.6290  0.0000  ProcessingElement_314
array/PE_22_6                        500.7015      0.1     426.3435     74.3580  0.0000  ProcessingElement_313
array/PE_22_7                        503.7390      0.1     429.7455     73.9935  0.0000  ProcessingElement_312
array/PE_22_8                        493.5330      0.1     419.1750     74.3580  0.0000  ProcessingElement_311
array/PE_22_9                        495.4770      0.1     420.0255     75.4515  0.0000  ProcessingElement_310
array/PE_23_0                        492.0750      0.1     417.3525     74.7225  0.0000  ProcessingElement_287
array/PE_23_1                        493.6545      0.1     419.6610     73.9935  0.0000  ProcessingElement_286
array/PE_23_10                       496.4490      0.1     421.3620     75.0870  0.0000  ProcessingElement_277
array/PE_23_11                       504.8325      0.1     430.4745     74.3580  0.0000  ProcessingElement_276
array/PE_23_12                       499.9725      0.1     426.7080     73.2645  0.0000  ProcessingElement_275
array/PE_23_13                       501.5520      0.1     427.5585     73.9935  0.0000  ProcessingElement_274
array/PE_23_14                       496.3275      0.1     422.3340     73.9935  0.0000  ProcessingElement_273
array/PE_23_15                       494.2620      0.1     420.6330     73.6290  0.0000  ProcessingElement_272
array/PE_23_16                       490.9815      0.1     416.0160     74.9655  0.0000  ProcessingElement_271
array/PE_23_17                       491.7105      0.1     416.3805     75.3300  0.0000  ProcessingElement_270
array/PE_23_18                       498.5145      0.1     422.8200     75.6945  0.0000  ProcessingElement_269
array/PE_23_19                       497.4210      0.1     422.8200     74.6010  0.0000  ProcessingElement_268
array/PE_23_2                        495.5985      0.1     420.8760     74.7225  0.0000  ProcessingElement_285
array/PE_23_20                       498.7575      0.1     424.8855     73.8720  0.0000  ProcessingElement_267
array/PE_23_21                       496.5705      0.1     421.9695     74.6010  0.0000  ProcessingElement_266
array/PE_23_22                       501.9165      0.1     426.9510     74.9655  0.0000  ProcessingElement_265
array/PE_23_23                       502.5240      0.1     427.1940     75.3300  0.0000  ProcessingElement_264
array/PE_23_24                       494.9910      0.1     419.6610     75.3300  0.0000  ProcessingElement_263
array/PE_23_25                       497.9070      0.1     422.9415     74.9655  0.0000  ProcessingElement_262
array/PE_23_26                       500.9445      0.1     425.2500     75.6945  0.0000  ProcessingElement_261
array/PE_23_27                       497.1780      0.1     421.1190     76.0590  0.0000  ProcessingElement_260
array/PE_23_28                       498.1500      0.1     422.0910     76.0590  0.0000  ProcessingElement_259
array/PE_23_29                       502.4025      0.1     428.1660     74.2365  0.0000  ProcessingElement_258
array/PE_23_3                        492.1965      0.1     417.8385     74.3580  0.0000  ProcessingElement_284
array/PE_23_30                       500.2155      0.1     421.3620     78.8535  0.0000  ProcessingElement_257
array/PE_23_31                       498.2715      0.1     422.2125     76.0590  0.0000  ProcessingElement_256
array/PE_23_4                        499.9725      0.1     424.5210     75.4515  0.0000  ProcessingElement_283
array/PE_23_5                        503.4960      0.1     429.1380     74.3580  0.0000  ProcessingElement_282
array/PE_23_6                        499.3650      0.1     424.6425     74.7225  0.0000  ProcessingElement_281
array/PE_23_7                        501.5520      0.1     426.8295     74.7225  0.0000  ProcessingElement_280
array/PE_23_8                        496.3275      0.1     421.9695     74.3580  0.0000  ProcessingElement_279
array/PE_23_9                        504.5895      0.1     430.9605     73.6290  0.0000  ProcessingElement_278
array/PE_24_0                        499.7295      0.1     424.2780     75.4515  0.0000  ProcessingElement_255
array/PE_24_1                        496.9350      0.1     422.2125     74.7225  0.0000  ProcessingElement_254
array/PE_24_10                       500.8230      0.1     426.4650     74.3580  0.0000  ProcessingElement_245
array/PE_24_11                       490.0095      0.1     415.6515     74.3580  0.0000  ProcessingElement_244
array/PE_24_12                       494.9910      0.1     420.2685     74.7225  0.0000  ProcessingElement_243
array/PE_24_13                       499.3650      0.1     425.0070     74.3580  0.0000  ProcessingElement_242
array/PE_24_14                       494.2620      0.1     419.1750     75.0870  0.0000  ProcessingElement_241
array/PE_24_15                       499.1220      0.1     425.4930     73.6290  0.0000  ProcessingElement_240
array/PE_24_16                       494.3835      0.1     419.0535     75.3300  0.0000  ProcessingElement_239
array/PE_24_17                       504.4680      0.1     429.8670     74.6010  0.0000  ProcessingElement_238
array/PE_24_18                       498.7575      0.1     423.4275     75.3300  0.0000  ProcessingElement_237
array/PE_24_19                       505.4400      0.1     429.7455     75.6945  0.0000  ProcessingElement_236
array/PE_24_2                        497.7855      0.1     423.0630     74.7225  0.0000  ProcessingElement_253
array/PE_24_20                       496.4490      0.1     421.1190     75.3300  0.0000  ProcessingElement_235
array/PE_24_21                       509.2065      0.1     434.9700     74.2365  0.0000  ProcessingElement_234
